,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Weekday,Day
0,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,Ewallet,522.83,4.761904762,26.1415,9.1,2019,1,Saturday,5
1,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,Cash,76.4,4.761904762,3.82,9.6,2019,3,Friday,8
2,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,Credit card,324.31,4.761904762,16.2155,7.4,2019,3,Sunday,3
3,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,Ewallet,465.76,4.761904762,23.288,8.4,2019,1,Sunday,27
4,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,Ewallet,604.17,4.761904762,30.2085,5.3,2019,2,Friday,8
5,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,Ewallet,597.73,4.761904762,29.8865,4.1,2019,3,Monday,25
6,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,Ewallet,413.04,4.761904762,20.652,5.8,2019,2,Monday,25
7,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,Ewallet,735.6,4.761904762,36.78,8.0,2019,2,Sunday,24
8,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,Credit card,72.52,4.761904762,3.626,7.2,2019,1,Thursday,10
9,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,Credit card,164.52,4.761904762,8.226,5.9,2019,2,Wednesday,20
10,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,Ewallet,57.92,4.761904762,2.896,4.5,2019,2,Wednesday,6
11,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,Cash,102.04,4.761904762,5.102,6.8,2019,3,Saturday,9
12,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,Ewallet,234.75,4.761904762,11.7375,7.1,2019,2,Tuesday,12
13,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,Ewallet,431.9,4.761904762,21.595,8.2,2019,2,Thursday,7
14,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,Cash,713.8,4.761904762,35.69,5.7,2019,3,Friday,29
